state	yr	qtr	index_nsa	index_sa	Warning
AK	2013	2	235.63	232.91	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2013	3	237.49	233.59	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2013	4	233.59	234.02	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AL	1991	1	100.00	100.00	
AL	1991	2	101.56	101.29	
AL	1991	3	102.64	102.01	
AL	1991	4	103.37	102.80	
AL	1992	1	104.31	104.32	
AL	1992	2	104.64	104.34	
AL	1992	3	106.93	106.25	
AL	1992	4	108.49	107.92	
AL	1993	1	109.08	109.10	
AL	1993	2	110.06	109.70	
AL	1993	3	112.16	111.46	
AL	1993	4	113.31	112.78	
AL	1994	1	114.15	114.15	
AL	1994	2	116.36	115.92	
AL	1994	3	117.25	116.49	
AL	1994	4	118.04	117.59	
AL	1995	1	118.42	118.40	
AL	1995	2	119.72	119.17	
AL	1995	3	121.63	120.88	
AL	1995	4	121.97	121.60	
AL	1996	1	122.81	122.73	
AL	1996	2	125.31	124.65	
AL	1996	3	125.88	125.15	
AL	1996	4	126.78	126.48	
AL	1997	1	127.88	127.74	
AL	1997	2	128.45	127.68	
AL	1997	3	129.93	129.28	
AL	1997	4	129.74	129.50	
AL	1998	1	131.02	130.80	
AL	1998	2	133.06	132.23	
AL	1998	3	134.31	133.68	
AL	1998	4	135.72	135.52	
AL	1999	1	136.59	136.31	
AL	1999	2	138.27	137.36	
AL	1999	3	138.76	138.16	
AL	1999	4	139.92	139.72	
AL	2000	1	141.36	141.06	
AL	2000	2	142.71	141.78	
AL	2000	3	143.00	142.35	
AL	2000	4	143.03	142.83	
AL	2001	1	144.53	144.27	
AL	2001	2	146.49	145.55	
AL	2001	3	147.14	146.36	
AL	2001	4	147.70	147.53	
AL	2002	1	149.03	148.83	
AL	2002	2	150.86	149.94	
AL	2002	3	151.80	150.84	
AL	2002	4	153.53	153.39	
AL	2003	1	154.46	154.33	
AL	2003	2	156.96	156.02	
AL	2003	3	159.95	158.80	
AL	2003	4	159.33	159.21	
AL	2004	1	160.60	160.57	
AL	2004	2	164.04	163.01	
AL	2004	3	167.85	166.56	
AL	2004	4	168.72	168.64	
AL	2005	1	171.80	171.93	
AL	2005	2	175.60	174.37	
AL	2005	3	179.53	178.05	
AL	2005	4	183.04	183.06	
AL	2006	1	187.41	187.68	
AL	2006	2	192.68	191.14	
AL	2006	3	195.52	193.84	
AL	2006	4	196.71	196.85	
AL	2007	1	198.26	198.74	
AL	2007	2	202.82	201.03	
AL	2007	3	202.83	200.88	
AL	2007	4	201.03	201.33	
AL	2008	1	199.11	199.82	
AL	2008	2	200.05	198.17	
AL	2008	3	197.33	195.11	
AL	2008	4	192.31	192.78	
AL	2009	1	192.93	193.89	
AL	2009	2	194.82	192.86	
AL	2009	3	190.11	187.64	
AL	2009	4	194.90	195.62	
AL	2010	1	185.12	186.26	
AL	2010	2	184.80	182.79	
AL	2010	3	183.89	181.29	
AL	2010	4	175.50	176.32	
AL	2011	1	171.77	172.97	
AL	2011	2	173.69	171.65	
AL	2011	3	175.47	172.90	
AL	2011	4	172.78	173.72	
AL	2012	1	175.82	177.13	
AL	2012	2	182.63	180.31	
AL	2012	3	179.90	177.28	
AL	2012	4	180.49	181.58	
AL	2013	1	180.50	181.86	
AL	2013	2	187.11	184.57	
AL	2013	3	189.42	186.78	
AL	2013	4	186.84	188.00	
AR	1991	1	100.00	100.00	
AR	1991	2	100.65	100.46	
AR	1991	3	101.90	101.64	
AR	1991	4	103.06	103.17	
AR	1992	1	103.01	103.02	
AR	1992	2	104.10	103.89	
AR	1992	3	105.20	104.94	
AR	1992	4	105.72	105.83	
AR	1993	1	107.69	107.72	
AR	1993	2	109.86	109.57	
AR	1993	3	111.90	111.66	
AR	1993	4	111.78	111.92	
AR	1994	1	115.45	115.49	
AR	1994	2	116.77	116.40	
AR	1994	3	117.25	117.03	
AR	1994	4	119.54	119.70	
AR	1995	1	119.37	119.41	
AR	1995	2	121.72	121.28	
AR	1995	3	123.41	123.25	
AR	1995	4	123.61	123.74	
AR	1996	1	124.62	124.67	
AR	1996	2	126.13	125.67	
AR	1996	3	125.55	125.42	
AR	1996	4	126.38	126.46	
AR	1997	1	127.47	127.57	
AR	1997	2	128.47	127.96	
AR	1997	3	128.83	128.71	
AR	1997	4	129.55	129.60	
AR	1998	1	129.92	130.06	
AR	1998	2	130.08	129.60	
AR	1998	3	132.90	132.71	
AR	1998	4	132.93	133.00	
AR	1999	1	134.06	134.25	
AR	1999	2	135.89	135.39	
AR	1999	3	136.64	136.38	
AR	1999	4	137.51	137.61	
AR	2000	1	137.52	137.73	
AR	2000	2	140.51	140.04	
AR	2000	3	140.75	140.35	
AR	2000	4	141.50	141.66	
AR	2001	1	143.26	143.53	
AR	2001	2	144.22	143.73	
AR	2001	3	146.20	145.70	
AR	2001	4	146.32	146.52	
AR	2002	1	147.58	147.85	
AR	2002	2	150.75	150.33	
AR	2002	3	152.03	151.42	
AR	2002	4	152.97	153.16	
AR	2003	1	154.92	155.26	
AR	2003	2	157.50	157.11	
AR	2003	3	160.94	160.25	
AR	2003	4	161.84	161.95	
AR	2004	1	164.87	165.35	
AR	2004	2	168.28	167.89	
AR	2004	3	171.17	170.39	
AR	2004	4	173.54	173.50	
AR	2005	1	175.39	176.10	
AR	2005	2	179.00	178.54	
AR	2005	3	182.89	182.04	
AR	2005	4	185.84	185.70	
AR	2006	1	187.25	188.16	
AR	2006	2	191.04	190.53	
AR	2006	3	192.78	191.83	
AR	2006	4	193.47	193.33	
AR	2007	1	192.71	193.72	
AR	2007	2	196.30	195.66	
AR	2007	3	196.23	195.24	
AR	2007	4	194.71	194.81	
AR	2008	1	190.78	191.56	
AR	2008	2	190.29	189.63	
AR	2008	3	189.94	189.01	
AR	2008	4	186.14	186.57	
AR	2009	1	184.58	185.02	
AR	2009	2	185.40	184.64	
AR	2009	3	186.08	185.24	
AR	2009	4	189.85	190.80	
AR	2010	1	178.77	178.72	
AR	2010	2	184.96	184.12	
AR	2010	3	179.53	178.72	
AR	2010	4	175.03	176.47	
AR	2011	1	178.73	178.21	
AR	2011	2	175.23	174.30	
AR	2011	3	177.45	176.63	
AR	2011	4	178.78	180.93	
AR	2012	1	181.63	180.58	
AR	2012	2	185.38	184.36	
AR	2012	3	184.86	183.92	
AR	2012	4	183.03	185.75	
AR	2013	1	189.92	188.52	
AR	2013	2	190.84	189.71	
AR	2013	3	191.52	190.44	
AR	2013	4	183.57	186.67	
AZ	1991	1	100.00	100.00	
AZ	1991	2	100.43	100.34	
AZ	1991	3	99.20	99.29	
AZ	1991	4	102.10	101.49	
AZ	1992	1	102.11	102.13	
AZ	1992	2	101.54	101.45	
AZ	1992	3	102.69	102.73	
AZ	1992	4	103.71	103.14	
AZ	1993	1	104.07	104.12	
AZ	1993	2	105.33	105.22	
AZ	1993	3	106.68	106.61	
AZ	1993	4	109.11	108.63	
AZ	1994	1	109.87	109.95	
AZ	1994	2	112.48	112.32	
AZ	1994	3	113.98	113.77	
AZ	1994	4	116.14	115.78	
AZ	1995	1	117.17	117.31	
AZ	1995	2	118.60	118.34	
AZ	1995	3	120.81	120.46	
AZ	1995	4	121.58	121.40	
AZ	1996	1	123.05	123.22	
AZ	1996	2	124.72	124.37	
AZ	1996	3	125.97	125.51	
AZ	1996	4	126.12	126.10	
AZ	1997	1	127.22	127.39	
AZ	1997	2	129.30	128.85	
AZ	1997	3	130.45	129.93	
AZ	1997	4	131.03	131.11	
AZ	1998	1	132.22	132.37	
AZ	1998	2	135.42	134.89	
AZ	1998	3	137.36	136.87	
AZ	1998	4	138.43	138.51	
AZ	1999	1	140.66	140.82	
AZ	1999	2	143.22	142.60	
AZ	1999	3	145.47	145.06	
AZ	1999	4	147.03	147.05	
AZ	2000	1	149.24	149.39	
AZ	2000	2	151.80	151.15	
AZ	2000	3	153.22	152.88	
AZ	2000	4	155.78	155.72	
AZ	2001	1	157.75	157.89	
AZ	2001	2	161.17	160.52	
AZ	2001	3	162.83	162.47	
AZ	2001	4	165.76	165.65	
AZ	2002	1	166.75	166.97	
AZ	2002	2	170.21	169.54	
AZ	2002	3	172.95	172.44	
AZ	2002	4	176.39	176.35	
AZ	2003	1	179.56	179.89	
AZ	2003	2	183.69	182.93	
AZ	2003	3	187.49	186.69	
AZ	2003	4	192.86	193.01	
AZ	2004	1	198.68	199.16	
AZ	2004	2	206.64	205.71	
AZ	2004	3	217.58	216.28	
AZ	2004	4	228.37	229.00	
AZ	2005	1	244.20	244.87	
AZ	2005	2	270.04	268.66	
AZ	2005	3	291.60	289.40	
AZ	2005	4	302.46	303.90	
AZ	2006	1	314.05	314.97	
AZ	2006	2	320.50	318.63	
AZ	2006	3	317.24	314.45	
AZ	2006	4	318.77	320.84	
AZ	2007	1	317.81	318.78	
AZ	2007	2	315.79	313.69	
AZ	2007	3	309.26	306.38	
AZ	2007	4	288.94	291.16	
AZ	2008	1	276.84	277.62	
AZ	2008	2	263.76	261.96	
AZ	2008	3	245.31	242.95	
AZ	2008	4	224.46	226.26	
AZ	2009	1	216.51	217.13	
AZ	2009	2	204.63	203.20	
AZ	2009	3	202.17	200.20	
AZ	2009	4	196.04	197.61	
AZ	2010	1	190.58	191.22	
AZ	2010	2	188.21	186.87	
AZ	2010	3	181.20	179.43	
AZ	2010	4	170.16	171.40	
AZ	2011	1	167.07	167.82	
AZ	2011	2	163.35	162.08	
AZ	2011	3	163.93	162.35	
AZ	2011	4	166.24	167.40	
AZ	2012	1	172.66	173.54	
AZ	2012	2	185.02	183.51	
AZ	2012	3	196.05	194.20	
AZ	2012	4	200.37	201.70	
AZ	2013	1	205.21	206.31	
AZ	2013	2	219.78	217.97	
AZ	2013	3	226.09	223.96	
AZ	2013	4	230.87	232.39	
CA	1991	1	100.00	100.00	
CA	1991	2	99.64	99.24	
CA	1991	3	99.53	98.85	
CA	1991	4	99.71	99.23	
CA	1992	1	99.04	99.05	
CA	1992	2	98.01	97.62	
CA	1992	3	97.74	97.03	
CA	1992	4	95.97	95.56	
CA	1993	1	93.69	93.71	
CA	1993	2	93.01	92.62	
CA	1993	3	91.47	90.74	
CA	1993	4	90.28	89.96	
CA	1994	1	88.83	88.86	
CA	1994	2	88.57	88.16	
CA	1994	3	88.39	87.64	
CA	1994	4	86.98	86.77	
CA	1995	1	86.23	86.28	
CA	1995	2	86.07	85.61	
CA	1995	3	86.28	85.51	
CA	1995	4	85.21	85.10	
CA	1996	1	85.01	85.06	
CA	1996	2	85.17	84.63	
CA	1996	3	85.50	84.74	
CA	1996	4	85.29	85.25	
CA	1997	1	84.79	84.82	
CA	1997	2	86.94	86.31	
CA	1997	3	88.14	87.40	
CA	1997	4	88.93	88.93	
CA	1998	1	90.94	90.96	
CA	1998	2	94.40	93.65	
CA	1998	3	96.49	95.73	
CA	1998	4	98.05	98.06	
CA	1999	1	100.56	100.58	
CA	1999	2	103.80	102.94	
CA	1999	3	106.15	105.34	
CA	1999	4	108.33	108.34	
CA	2000	1	111.72	111.75	
CA	2000	2	116.07	115.12	
CA	2000	3	119.83	118.89	
CA	2000	4	123.75	123.73	
CA	2001	1	127.91	127.99	
CA	2001	2	132.44	131.44	
CA	2001	3	135.47	134.30	
CA	2001	4	138.01	137.95	
CA	2002	1	142.38	142.55	
CA	2002	2	149.79	148.73	
CA	2002	3	157.04	155.52	
CA	2002	4	161.69	161.62	
CA	2003	1	167.40	167.74	
CA	2003	2	174.99	173.78	
CA	2003	3	182.80	180.84	
CA	2003	4	191.56	191.52	
CA	2004	1	200.90	201.44	
CA	2004	2	215.31	213.76	
CA	2004	3	230.50	227.92	
CA	2004	4	239.70	239.70	
CA	2005	1	251.49	252.34	
CA	2005	2	266.86	264.83	
CA	2005	3	280.04	276.81	
CA	2005	4	283.68	283.67	
CA	2006	1	285.48	286.67	
CA	2006	2	287.08	284.79	
CA	2006	3	282.19	278.88	
CA	2006	4	273.80	273.65	
CA	2007	1	271.72	273.14	
CA	2007	2	268.70	266.48	
CA	2007	3	255.70	252.69	
CA	2007	4	235.18	234.87	
CA	2008	1	213.10	214.44	
CA	2008	2	195.90	194.25	
CA	2008	3	183.86	181.68	
CA	2008	4	171.87	171.50	
CA	2009	1	164.32	165.53	
CA	2009	2	164.77	163.38	
CA	2009	3	168.15	166.10	
CA	2009	4	168.55	168.10	
CA	2010	1	166.78	168.15	
CA	2010	2	168.30	166.89	
CA	2010	3	165.30	163.19	
CA	2010	4	160.03	159.60	
CA	2011	1	154.54	155.90	
CA	2011	2	154.35	152.99	
CA	2011	3	154.19	152.18	
CA	2011	4	153.17	152.83	
CA	2012	1	153.27	154.64	
CA	2012	2	161.73	160.25	
CA	2012	3	165.17	162.97	
CA	2012	4	171.66	171.37	
CA	2013	1	179.27	180.88	
CA	2013	2	192.90	191.08	
CA	2013	3	202.52	199.79	
CA	2013	4	205.05	204.78	
CO	1991	1	100.00	100.00	
CO	1991	2	101.00	100.07	
CO	1991	3	102.38	101.19	
CO	1991	4	103.20	103.02	
CO	1992	1	105.35	105.36	
CO	1992	2	108.83	107.83	
CO	1992	3	111.07	109.77	
CO	1992	4	113.71	113.50	
CO	1993	1	115.57	115.61	
CO	1993	2	120.47	119.33	
CO	1993	3	125.15	123.70	
CO	1993	4	128.13	127.87	
CO	1994	1	131.94	132.00	
CO	1994	2	137.05	135.75	
CO	1994	3	139.80	138.21	
CO	1994	4	140.50	140.21	
CO	1995	1	141.93	142.00	
CO	1995	2	145.02	143.61	
CO	1995	3	147.72	146.09	
CO	1995	4	148.59	148.27	
CO	1996	1	150.04	150.05	
CO	1996	2	153.52	152.02	
CO	1996	3	155.14	153.48	
CO	1996	4	156.24	155.94	
CO	1997	1	157.31	157.25	
CO	1997	2	160.82	159.24	
CO	1997	3	162.91	161.23	
CO	1997	4	163.77	163.50	
CO	1998	1	166.33	166.16	
CO	1998	2	170.40	168.72	
CO	1998	3	173.41	171.66	
CO	1998	4	176.06	175.87	
CO	1999	1	180.08	179.78	
CO	1999	2	186.39	184.52	
CO	1999	3	192.50	190.59	
CO	1999	4	194.81	194.68	
CO	2000	1	200.63	200.22	
CO	2000	2	207.67	205.57	
CO	2000	3	213.72	211.61	
CO	2000	4	217.40	217.29	
CO	2001	1	224.24	223.82	
CO	2001	2	229.43	227.03	
CO	2001	3	231.12	228.82	
CO	2001	4	230.74	230.63	
CO	2002	1	234.60	234.32	
CO	2002	2	237.54	234.91	
CO	2002	3	239.97	237.58	
CO	2002	4	240.19	240.03	
CO	2003	1	240.87	240.82	
CO	2003	2	244.42	241.52	
CO	2003	3	245.46	243.02	
CO	2003	4	245.58	245.33	
CO	2004	1	247.34	247.62	
CO	2004	2	254.71	251.44	
CO	2004	3	256.77	254.17	
CO	2004	4	255.61	255.31	
CO	2005	1	259.85	260.56	
CO	2005	2	266.52	262.75	
CO	2005	3	268.81	265.94	
CO	2005	4	271.45	271.33	
CO	2006	1	271.49	272.55	
CO	2006	2	277.85	273.51	
CO	2006	3	278.21	275.07	
CO	2006	4	278.38	278.62	
CO	2007	1	277.61	278.91	
CO	2007	2	283.59	278.75	
CO	2007	3	281.68	278.42	
CO	2007	4	274.77	275.25	
CO	2008	1	270.32	271.79	
CO	2008	2	276.17	271.23	
CO	2008	3	271.57	268.15	
CO	2008	4	261.34	261.97	
CO	2009	1	264.97	266.86	
CO	2009	2	272.56	267.37	
CO	2009	3	270.48	266.79	
CO	2009	4	265.65	266.34	
CO	2010	1	266.97	269.47	
CO	2010	2	270.08	264.72	
CO	2010	3	263.44	259.43	
CO	2010	4	262.61	263.31	
CO	2011	1	255.15	258.17	
CO	2011	2	261.52	256.08	
CO	2011	3	264.19	259.89	
CO	2011	4	257.43	257.97	
CO	2012	1	255.79	259.45	
CO	2012	2	276.76	270.90	
CO	2012	3	280.81	275.78	
CO	2012	4	283.01	283.59	
CO	2013	1	285.90	290.60	
CO	2013	2	303.78	297.11	
CO	2013	3	309.76	303.91	
CO	2013	4	308.70	309.39	
CT	1991	1	100.00	100.00	
CT	1991	2	97.87	98.02	
CT	1991	3	97.09	96.27	
CT	1991	4	96.54	95.84	
CT	1992	1	97.31	97.40	
CT	1992	2	95.22	95.35	
CT	1992	3	95.06	94.18	
CT	1992	4	96.02	95.34	
CT	1993	1	92.39	92.61	
CT	1993	2	91.69	91.74	
CT	1993	3	92.41	91.44	
CT	1993	4	91.98	91.41	
CT	1994	1	91.12	91.49	
CT	1994	2	91.99	91.88	
CT	1994	3	92.88	91.80	
CT	1994	4	91.91	91.49	
CT	1995	1	90.49	90.95	
CT	1995	2	90.67	90.39	
CT	1995	3	91.91	90.80	
CT	1995	4	91.11	90.86	
CT	1996	1	90.71	91.22	
CT	1996	2	92.01	91.51	
CT	1996	3	92.00	90.92	
CT	1996	4	90.89	90.77	
CT	1997	1	90.86	91.39	
CT	1997	2	92.78	92.12	
CT	1997	3	93.61	92.56	
CT	1997	4	93.45	93.38	
CT	1998	1	93.57	94.15	
CT	1998	2	96.47	95.68	
CT	1998	3	98.67	97.60	
CT	1998	4	99.75	99.70	
CT	1999	1	101.41	102.04	
CT	1999	2	104.75	103.88	
CT	1999	3	107.17	105.98	
CT	1999	4	108.35	108.26	
CT	2000	1	110.21	110.99	
CT	2000	2	114.76	113.79	
CT	2000	3	116.80	115.46	
CT	2000	4	118.35	118.17	
CT	2001	1	120.25	121.23	
CT	2001	2	125.12	124.13	
CT	2001	3	129.42	127.81	
CT	2001	4	130.77	130.49	
CT	2002	1	132.19	133.47	
CT	2002	2	138.85	137.74	
CT	2002	3	143.65	141.73	
CT	2002	4	147.06	146.77	
CT	2003	1	148.65	150.18	
CT	2003	2	153.92	152.67	
CT	2003	3	158.82	156.52	
CT	2003	4	160.54	160.44	
CT	2004	1	162.80	164.51	
CT	2004	2	171.47	169.86	
CT	2004	3	178.13	175.52	
CT	2004	4	179.29	179.55	
CT	2005	1	182.27	184.02	
CT	2005	2	190.19	188.16	
CT	2005	3	194.74	191.94	
CT	2005	4	194.92	195.51	
CT	2006	1	196.33	198.15	
CT	2006	2	200.84	198.38	
CT	2006	3	198.61	195.90	
CT	2006	4	195.58	196.30	
CT	2007	1	197.74	199.60	
CT	2007	2	199.85	197.25	
CT	2007	3	199.92	197.23	
CT	2007	4	194.56	195.18	
CT	2008	1	189.96	192.05	
CT	2008	2	192.03	189.33	
CT	2008	3	188.35	185.81	
CT	2008	4	182.25	182.68	
CT	2009	1	179.89	182.25	
CT	2009	2	180.35	177.63	
CT	2009	3	178.81	176.38	
CT	2009	4	175.39	175.54	
CT	2010	1	171.53	174.31	
CT	2010	2	175.88	173.09	
CT	2010	3	173.25	170.71	
CT	2010	4	169.13	169.06	
CT	2011	1	165.74	168.97	
CT	2011	2	171.40	168.67	
CT	2011	3	168.73	165.88	
CT	2011	4	165.46	165.26	
CT	2012	1	159.89	163.46	
CT	2012	2	165.36	162.84	
CT	2012	3	168.63	165.28	
CT	2012	4	164.78	164.65	
CT	2013	1	160.01	163.85	
CT	2013	2	169.29	166.79	
CT	2013	3	171.73	168.01	
CT	2013	4	166.56	166.54	
DC	1991	1	100.00	100.00	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
DC	1991	2	102.29	100.42	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
DC	1991	3	100.20	98.09	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
DC	1991	4	98.75	99.89	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
DC	1992	1	100.95	100.85	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
DC	1992	2	101.53	99.71	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
DC	1992	3	103.16	101.13	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
